0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:15 +0900] "GET /k20230531_1_promise/01_promise_json%ED%99%9C%EC%9A%A9.html HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:15 +0900] "GET /k20230531_1_promise/js/promise01.js HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:16 +0900] "GET /k20230531_1_promise/01_promise_json%ED%99%9C%EC%9A%A9.html HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:16 +0900] "GET /k20230531_1_promise/js/promise01.js HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:16 +0900] "GET /k20230531_1_promise/01_promise_json%ED%99%9C%EC%9A%A9.html HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:16 +0900] "GET /k20230531_1_promise/js/promise01.js HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:16 +0900] "GET /k20230531_1_promise/01_promise_json%ED%99%9C%EC%9A%A9.html HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:16 +0900] "GET /k20230531_1_promise/js/promise01.js HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:16 +0900] "GET /k20230531_1_promise/01_promise_json%ED%99%9C%EC%9A%A9.html HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:16 +0900] "GET /k20230531_1_promise/js/promise01.js HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:16 +0900] "GET /k20230531_1_promise/01_promise_json%ED%99%9C%EC%9A%A9.html HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:16 +0900] "GET /k20230531_1_promise/js/promise01.js HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:16 +0900] "GET /k20230531_1_promise/01_promise_json%ED%99%9C%EC%9A%A9.html HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:16 +0900] "GET /k20230531_1_promise/js/promise01.js HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:24 +0900] "GET /k20230531_1_promise/01_promise_json%ED%99%9C%EC%9A%A9.html HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:24 +0900] "GET /k20230531_1_promise/js/promise01.js HTTP/1.1" 200 3550
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:25 +0900] "GET /k20230531_1_promise/01_promise_json%ED%99%9C%EC%9A%A9.html HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:25 +0900] "GET /k20230531_1_promise/js/promise01.js HTTP/1.1" 200 3550
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:25 +0900] "GET /k20230531_1_promise/01_promise_json%ED%99%9C%EC%9A%A9.html HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:25 +0900] "GET /k20230531_1_promise/js/promise01.js HTTP/1.1" 200 3550
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:25 +0900] "GET /k20230531_1_promise/01_promise_json%ED%99%9C%EC%9A%A9.html HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:25 +0900] "GET /k20230531_1_promise/js/promise01.js HTTP/1.1" 200 3550
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:25 +0900] "GET /k20230531_1_promise/01_promise_json%ED%99%9C%EC%9A%A9.html HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:25 +0900] "GET /k20230531_1_promise/js/promise01.js HTTP/1.1" 200 3550
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:25 +0900] "GET /k20230531_1_promise/01_promise_json%ED%99%9C%EC%9A%A9.html HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:25 +0900] "GET /k20230531_1_promise/js/promise01.js HTTP/1.1" 200 3550
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:26 +0900] "GET /k20230531_1_promise/01_promise_json%ED%99%9C%EC%9A%A9.html HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:26 +0900] "GET /k20230531_1_promise/js/promise01.js HTTP/1.1" 200 3550
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:31:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:34:24 +0900] "GET /k20230531_1_promise/06_promise_callback%EC%A7%80%EC%98%A5_promise.html HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:34:24 +0900] "GET /k20230531_1_promise/js/promise06.js HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:35:56 +0900] "GET /k20230531_1_promise/06_promise_callback%EC%A7%80%EC%98%A5_promise.html HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:35:56 +0900] "GET /k20230531_1_promise/js/promise06.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:58:36 +0900] "GET /k20230531_1_promise/06_promise_callback%EC%A7%80%EC%98%A5_promise.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:58:36 +0900] "GET /k20230531_1_promise/js/promise06.js HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:03:08 +0900] "GET /k20230531_1_promise/06_promise_callback%EC%A7%80%EC%98%A5_promise.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:03:08 +0900] "GET /k20230531_1_promise/js/promise06.js HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:03:09 +0900] "GET /k20230531_1_promise/06_promise_callback%EC%A7%80%EC%98%A5_promise.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:03:09 +0900] "GET /k20230531_1_promise/06_promise_callback%EC%A7%80%EC%98%A5_promise.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:03:09 +0900] "GET /k20230531_1_promise/js/promise06.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:03:09 +0900] "GET /k20230531_1_promise/js/promise06.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:08:29 +0900] "GET /k20230531_1_promise/06_promise_callback%EC%A7%80%EC%98%A5_promise.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:08:29 +0900] "GET /k20230531_1_promise/js/promise06.js HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:08:29 +0900] "GET /k20230531_1_promise/06_promise_callback%EC%A7%80%EC%98%A5_promise.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:08:29 +0900] "GET /k20230531_1_promise/06_promise_callback%EC%A7%80%EC%98%A5_promise.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:08:29 +0900] "GET /k20230531_1_promise/js/promise06.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:08:29 +0900] "GET /k20230531_1_promise/js/promise06.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:08:30 +0900] "GET /k20230531_1_promise/06_promise_callback%EC%A7%80%EC%98%A5_promise.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:08:31 +0900] "GET /k20230531_1_promise/06_promise_callback%EC%A7%80%EC%98%A5_promise.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:08:31 +0900] "GET /k20230531_1_promise/js/promise06.js HTTP/1.1" 304 -
